Secteur ,Mode paiement ,Support,Budget ,Visite des lieux ,Type ,Allotissement ,Mt caution ,Organisme ,Obsérvation ,Téléchargement,Contact ,Montant retrait ,Soumission électronique ,Ville d'exécution ,Domaine ,Objet ,Adresse retrait 
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 12/08/2025 01/01
SITE WEB 16/08/2025 01/01
SITE WEB 26/08/2025 01/01
Liberation 01/08/2025 4/002 | SITE WEB | 12/08/2025 | 01/01 | SITE WEB | 16/08/2025 | 01/01 | SITE WEB | 26/08/2025 | 01/01 | Liberation | 01/08/2025 | 4/002", | 12 mois,--- | Télécharger D.A.O,National,2 Lots, | ---,Amendis.,"av 1 : DAO modifié( réponse à demande d'éclaircissement ) / av 2 : DAO modifié: changement au niveau de l'Estimation en TTC lot 1 Min : 2 006 487,60 - Max : 4 012 975,20 DHS Estimation en TTC lot 2 Min : 2 282 616,00 - Max : 4 565 232,00 DHS / av 3 : DAO modifié ( avis rectificatif : report de la date limite est le 28/08/2025 au lieu de 26/08/2025 ) à vérifier",https://global-marches.com/downoaldcps/1485369.zip,Tél: 05.39.32.80.28 - ma.amendis-achats-groups@vealia.com; Télécopieur: nadia.benrahmoun@veolia.com, | ---,Oui Cliquer ici,- Tetouan,,Marché cadre des travaux de branchements neufs eau et assainissement sur le périmètre d'amendis de Tétouan,
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","239.520,00 MAD | ",--- | Télécharger D.A.O,National,,"4.000,00 MAD | ---",Ormva / office régional de mise en valeur agricole de la moulouya,budget en TTC,https://global-marches.com/downoaldcps/1488398.zip,HAJAR BERRAHO - Téléphone: 0661423292 - Email: berraho.hajar@gmail.com - Télécopieur: 0536612928, | ---,Oui Cliquer ici,- berkane,,"Aménagement des locaux de la coopérative « Al Kher » selon les normes de l'ONSSA dans le cadre du programme IHYAE dans le cercle d'Aklim, zone d'action de l'ORMVAM dans la Province de Berkane.",Bureau des Marchés de l’Office Régional de Mise en Valeur Agricole de la Moulouya sis à route d’Oujda Berkane
"Secteur Qualification Classe
4 4-1 5 | 4 | 4-1 | 5", | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","958.095,60 MAD | ",--- | Télécharger D.A.O,National,,"9.000,00 MAD | ---","Ministere de l Agriculture, de la Peche Maritime, du Developpement Rural et des Eaux et Forets / directeur provincial d'agriculture tetouan",budget en TTC + qualifications mentionnée au niveau de RC,https://global-marches.com/downoaldcps/1488396.zip,OMAR ZEMRANI - Téléphone: 0662794592 - Email: zemraniomar@yahoo.fr - Télécopieur: 0539962991, | ---,Oui Cliquer ici,- M’diq fnideq- Tetouan,,travaux d’aménagement de point d'eau boujmil - commune alyiyene préfecture m'diq-fnideq.,
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","737.619,60 MAD | ",--- | Télécharger D.A.O,National,,"12.000,00 MAD | ---",Region de draa - tafilalet / Commune urbaine de ERRACHIDIA,budget en TTC,https://global-marches.com/downoaldcps/1488395.zip,bureau des marchés commune urbaine Errachidia - Téléphone: 0535571545 - Email: b.marches@menara.ma - Télécopieur: 0535572216, | ---,Oui Cliquer ici,- Errachidia,,"électrification 2°/1° catégorie d’un groupe de logements sis a rue n° 06 a hay el mohit, commune d’errachidia - (province d'errachidia).",
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","320.000,00 MAD | ",--- | Télécharger D.A.O,National,,"6.400,00 MAD | ---",Region de tanger-tetouan - al hoceima / Arrondissement BNI MAKADA,budget en ttc,https://global-marches.com/downoaldcps/1488394.zip,ABDELLAH EL HADDAD - Téléphone: 0696920110 - Email: elhaddadabdellah31@gmail.com - Télécopieur: 0539951359, | ---,Oui Cliquer ici,- Tanger assila,,AO Simplifie : Relatif a la circoncision des enfants necessiteux,
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","2.600.000,00 MAD | ",12/09/2025 11:00 | Télécharger D.A.O,National,, | ---,Autres instituts / institut des techniciens spécialises en agriculture d'ouled taima,,https://global-marches.com/downoaldcps/1488393.zip,ITAOT ITA OT - Téléphone: 0528528261 - Email: LAOT@menara.ma - Télécopieur: 0528528261, | ---,,- Taroudant,,Consultation architecturale ouverte : Conception architecturale et le suivi des travaux de construction d’un bloc pédagogique à l’Institut des Techniciens Spécialisés en Agriculture d’Ouled Teima.,
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","44.520,00 MAD | ",15/09/2025 11:00 | Télécharger D.A.O,National,,"700,00 MAD | ---",La cour d'appel / la Cour d’Appel Al Hoceima.,budget en TTC,https://global-marches.com/downoaldcps/1488391.zip,Mohamed EL KADDOURI - Téléphone: 0539984983 - Email: sdrhoceima@gmail.com - Télécopieur: 0539981110, | ---,Oui Cliquer ici,- Al hoceima,,"Maintenance et entretien complet des postes de transformation, et des TGBTs (Tableaux Généraux Basse Tension) de la circonscription judiciaire de la Cour d’Appel Al Hoceima. (Lot Unique)",
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","4.185.738,00 MAD | ",--- | Télécharger D.A.O,National,,"80.000,00 MAD | ---",Region de l'oriental / Conseil Provincial de Driouch,les informations à vérifier,https://global-marches.com/downoaldcps/1488390.zip,MOSTAPHA EL MOUHOUTI - Téléphone: 0661826128 - Email: mostaphaelmouhouti70@gmail.com - Télécopieur: 0536367912, | ---,Oui Cliquer ici,- Driouch,,Travaux de construction du siège du Conseil Provincial de Driouch- Province de Driouch Lot : seconds œuvres,
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","60.000,00 MAD | ",--- | Déjà téléchargé Ne plus suivre,National,,"1.200,00 MAD | ---",Ministere de l'economie et des finances,budget en TTC,https://global-marches.com/downoaldcps/1488388.zip,ZINEB OUJJANI - Téléphone: 05 23 31 56 02 - Email: z.oujjani@tax.gov.ma - Télécopieur: 05 23 32 20 82, | ---,Oui Cliquer ici,- Mohammedia,,la maintenance complète du système de rayonnage motorisé et ses logiciels installé au sous sol du siège de la Direction Provinciale des Impôts de Mohammedia (lot unique).,
, | ---,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 18/005 | L'opinion | 25/08/2025 | 18/005","270.060,00 MAD | ",--- | Demander D.A.O,National,,"5.401,00 MAD | ---",Region de souss-massa,budget en TTC,,, | ---,Oui,- Agadir,,AO simplifié : travaux d'amenagement l'aborattoire communale au centre de tamri -commune de tamri.,
, | ---,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01","2.883.000,00 MAD | ",--- | Télécharger D.A.O,National,, | ---,Agence nationale des equipements publics (ANEP) / direction régionale de l'agence nationale des équipements publics du sud,,https://global-marches.com/downoaldcps/1488385.zip,MOHAMMED TANJAOUI - Téléphone: 0528231160 - Email: tanjaouimohammed@gmail.com - Télécopieur: 0528210845, | ---,,- Agadir,,Consultation architecturale ouverte simplifiée : la conception architecturale et le suivi des travaux de reconstruction de la mosquée ait mhened - préfecture d’Agadir ida outanane.,
, | ---,"SUPPORT DU PAGE/COLONNE
L'opinion 25/08/2025 18/04 | L'opinion | 25/08/2025 | 18/04","551.800,00 MAD | ",--- | Demander D.A.O,National,,"10.000,00 MAD | ---",Region de souss-massa /province de taroudant,budget en TTC,,, | ---,Oui,- Taroudant,,Travaux d'alimentation en eau potable de divers dours relevant de la commune d'assads projet : réalisation d'installations solaires photovoltaïques de production d'energie solaire au niveau de quatre stations de reprise,
