Objet ,Visite des lieux ,Soumission électronique ,Secteur ,Téléchargement,Ville d'exécution ,Adresse retrait ,Allotissement ,Contact ,Budget ,Mode paiement ,Obsérvation ,Support,Domaine ,Type ,Organisme ,Montant retrait ,Mt caution 
Marché cadre des travaux de branchements neufs eau et assainissement sur le périmètre d'amendis de Tétouan,--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1485369.zip,- Tetouan,,2 Lots,Tél: 05.39.32.80.28 - ma.amendis-achats-groups@vealia.com; Télécopieur: nadia.benrahmoun@veolia.com, | 12 mois, | ---,"av 1 : DAO modifié( réponse à demande d'éclaircissement ) / av 2 : DAO modifié: changement au niveau de l'Estimation en TTC lot 1 Min : 2 006 487,60 - Max : 4 012 975,20 DHS Estimation en TTC lot 2 Min : 2 282 616,00 - Max : 4 565 232,00 DHS / av 3 : DAO modifié ( avis rectificatif : report de la date limite est le 28/08/2025 au lieu de 26/08/2025 ) à vérifier","SUPPORT DU PAGE/COLONNE
SITE WEB 12/08/2025 01/01
SITE WEB 16/08/2025 01/01
SITE WEB 26/08/2025 01/01
Liberation 01/08/2025 4/002 | SITE WEB | 12/08/2025 | 01/01 | SITE WEB | 16/08/2025 | 01/01 | SITE WEB | 26/08/2025 | 01/01 | Liberation | 01/08/2025 | 4/002",,National,Amendis., | ---, | ---
Travaux d’élargissement et de renforcement de la RP 3417 du PK 0+000 au PK 17+000 (Province d'El Jadida).,--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
B B5 1
B B3 1
B B1 1 | B | B5 | 1 | B | B3 | 1 | B | B1 | 1",https://global-marches.com/downoaldcps/1488399.zip,- El jadida,,,de l'Equipement et du Transpor Direction Provinciale - Téléphone: 0679822473 - Email: dpe-jadida@mtpnet.gov.ma - Télécopieur: 0523344490,"28.303.962,00 MAD | ", | ---,budget en TTC - qualifications mentionnée au niveau de RC,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,International,ministere  de l’equipement et de l’eau / directeur provincial de l'équipement a el jadida, | ---,"430.000,00 MAD | ---"
"Aménagement des locaux de la coopérative « Al Kher » selon les normes de l'ONSSA dans le cadre du programme IHYAE dans le cercle d'Aklim, zone d'action de l'ORMVAM dans la Province de Berkane.",--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488398.zip,- berkane,Bureau des Marchés de l’Office Régional de Mise en Valeur Agricole de la Moulouya sis à route d’Oujda Berkane,,HAJAR BERRAHO - Téléphone: 0661423292 - Email: berraho.hajar@gmail.com - Télécopieur: 0536612928,"239.520,00 MAD | ", | ---,budget en TTC,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Ormva / office régional de mise en valeur agricole de la moulouya, | ---,"4.000,00 MAD | ---"
travaux d’aménagement de point d'eau boujmil - commune alyiyene préfecture m'diq-fnideq.,--- | Télécharger D.A.O,Oui Cliquer ici,"Secteur Qualification Classe
4 4-1 5 | 4 | 4-1 | 5",https://global-marches.com/downoaldcps/1488396.zip,- M’diq fnideq- Tetouan,,,OMAR ZEMRANI - Téléphone: 0662794592 - Email: zemraniomar@yahoo.fr - Télécopieur: 0539962991,"958.095,60 MAD | ", | ---,budget en TTC + qualifications mentionnée au niveau de RC,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,"Ministere de l Agriculture, de la Peche Maritime, du Developpement Rural et des Eaux et Forets / directeur provincial d'agriculture tetouan", | ---,"9.000,00 MAD | ---"
"électrification 2°/1° catégorie d’un groupe de logements sis a rue n° 06 a hay el mohit, commune d’errachidia - (province d'errachidia).",--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488395.zip,- Errachidia,,,bureau des marchés commune urbaine Errachidia - Téléphone: 0535571545 - Email: b.marches@menara.ma - Télécopieur: 0535572216,"737.619,60 MAD | ", | ---,budget en TTC,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Region de draa - tafilalet / Commune urbaine de ERRACHIDIA, | ---,"12.000,00 MAD | ---"
AO Simplifie : Relatif a la circoncision des enfants necessiteux,--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488394.zip,- Tanger assila,,,ABDELLAH EL HADDAD - Téléphone: 0696920110 - Email: elhaddadabdellah31@gmail.com - Télécopieur: 0539951359,"320.000,00 MAD | ", | ---,budget en ttc,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Region de tanger-tetouan - al hoceima / Arrondissement BNI MAKADA, | ---,"6.400,00 MAD | ---"
Consultation architecturale ouverte : Conception architecturale et le suivi des travaux de construction d’un bloc pédagogique à l’Institut des Techniciens Spécialisés en Agriculture d’Ouled Teima.,12/09/2025 11:00 | Télécharger D.A.O,,,https://global-marches.com/downoaldcps/1488393.zip,- Taroudant,,,ITAOT ITA OT - Téléphone: 0528528261 - Email: LAOT@menara.ma - Télécopieur: 0528528261,"2.600.000,00 MAD | ", | ---,,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Autres instituts / institut des techniciens spécialises en agriculture d'ouled taima, | ---, | ---
"Maintenance et entretien complet des postes de transformation, et des TGBTs (Tableaux Généraux Basse Tension) de la circonscription judiciaire de la Cour d’Appel Al Hoceima. (Lot Unique)",15/09/2025 11:00 | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488391.zip,- Al hoceima,,,Mohamed EL KADDOURI - Téléphone: 0539984983 - Email: sdrhoceima@gmail.com - Télécopieur: 0539981110,"44.520,00 MAD | ", | ---,budget en TTC,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,La cour d'appel / la Cour d’Appel Al Hoceima., | ---,"700,00 MAD | ---"
Travaux de construction du siège du Conseil Provincial de Driouch- Province de Driouch Lot : seconds œuvres,--- | Télécharger D.A.O,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488390.zip,- Driouch,,,MOSTAPHA EL MOUHOUTI - Téléphone: 0661826128 - Email: mostaphaelmouhouti70@gmail.com - Télécopieur: 0536367912,"4.185.738,00 MAD | ", | ---,les informations à vérifier,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Region de l'oriental / Conseil Provincial de Driouch, | ---,"80.000,00 MAD | ---"
la maintenance complète du système de rayonnage motorisé et ses logiciels installé au sous sol du siège de la Direction Provinciale des Impôts de Mohammedia (lot unique).,--- | Déjà téléchargé Ne plus suivre,Oui Cliquer ici,,https://global-marches.com/downoaldcps/1488388.zip,- Mohammedia,,,ZINEB OUJJANI - Téléphone: 05 23 31 56 02 - Email: z.oujjani@tax.gov.ma - Télécopieur: 05 23 32 20 82,"60.000,00 MAD | ", | ---,budget en TTC,"SUPPORT DU PAGE/COLONNE
SITE WEB 25/08/2025 01/01 | SITE WEB | 25/08/2025 | 01/01",,National,Ministere de l'economie et des finances, | ---,"1.200,00 MAD | ---"
